1,1143
2,437946
3,474231
4,96678
5,29286
6,9777
7,2768
8,406
9,146
10,98
11,741
12,1163
13,225
14,145
15,97
16,61
17,52
18,30
19,35
20,38
21,29
22,30
23,25
24,11
25,18
26,20
27,21
28,16
29,12
30,7
31,34
32,8
33,18
34,8
35,16
36,6
37,8
38,2
39,8
41,6
42,7
43,4
45,6
48,10
49,16
50,2
51,4
52,6
53,10
54,7
55,4
56,4
57,6
58,6
59,8
60,6
61,10
62,6
64,12
65,2
66,7
67,4
68,4
69,4
70,2
71,4
72,6
73,10
75,5
77,2
79,6
81,8
82,2
83,4
84,2
85,4
87,2
89,2
90,2
92,2
93,1
94,2
96,2
97,4
98,4
99,6
100,8
110,24
120,24
130,4
140,20
150,8
160,7
170,12
180,2
190,10
200,6
210,7
220,4
230,6
240,6
250,5
260,4
270,2
280,2
290,4
300,6
310,4
320,4
330,1
340,2
350,2
360,2
400,5
420,2
440,2
450,4
480,2
500,7
510,4
530,2
550,6
570,2
580,2
590,2
660,2
670,2
710,4
730,2
790,2
810,2
840,2
870,1
900,2
940,2
980,2
1000,6
1200,4
1500,4
1800,2
1900,4
2000,4
2100,2
2300,2
2400,6
2500,2
2600,2
2700,2
2800,2
2900,6
3000,8
3200,2
3300,2
4300,2
4400,2
4700,4
5000,2
5100,4
5400,4
5900,2
6400,2
6700,2
7900,2
8900,2
9200,2
12000,2
13000,2
16000,2
24000,2
26000,2
